Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray25Violet13,71,81,62,72,77,87,0.338,0.338,0.295,0.3,0.363,0.367
Gray14Violet2,148,152,109,115,110,115,0.398,0.403,0.297,0.301,0.3,0.301
Gray20Violet10,111,118,90,97,88,98,0.377,0.384,0.308,0.314,0.303,0.313
Gray20Violet11,108,113,84,88,82,87,0.394,0.396,0.303,0.307,0.299,0.303
Gray9Violet9,123,129,115,118,132,143,0.328,0.334,0.303,0.31,0.356,0.367
Gray20Violet10,96,110,91,101,107,117,0.323,0.356,0.298,0.314,0.346,0.364
Gray20Violet10,99,109,85,89,117,125,0.318,0.344,0.273,0.285,0.382,0.402
Gray15Violet2,147,150,102,106,103,107,0.413,0.418,0.287,0.296,0.287,0.301
Gray14Violet2,146,154,115,119,112,117,0.399,0.405,0.3,0.309,0.291,0.299
Gray9Violet7,153,161,140,149,157,167,0.335,0.341,0.311,0.315,0.345,0.352
Gray9Violet7,146,150,141,147,159,161,0.326,0.328,0.316,0.321,0.352,0.357
Gray9Violet8,140,149,128,134,147,155,0.335,0.343,0.3,0.31,0.354,0.357
Gray9Violet6,159,167,153,160,170,178,0.327,0.339,0.31,0.321,0.351,0.354
Gray25Violet13,76,84,42,81,66,77,0.398,0.417,0.225,0.246,0.348,0.374
Gray25Violet13,76,86,47,58,75,84,0.364,0.398,0.217,0.278,0.352,0.387
Gray25Violet14,70,77,36,46,60,69,0.4,0.429,0.206,0.245,0.346,0.394
Gray20Violet12,112,120,57,62,67,76,0.465,0.479,0.238,0.247,0.277,0.295
Gray20Violet10,133,137,77,83,90,96,0.434,0.445,0.256,0.263,0.297,0.304
Gray20Violet10,130,135,94,97,100,101,0.401,0.405,0.29,0.29,0.303,0.309
Gray14Violet1,162,165,137,139,141,144,0.367,0.369,0.31,0.312,0.319,0.322
Gray7Violet5,189,191,153,153,155,155,0.38,0.386,0.308,0.309,0.305,0.312
Gray8Violet8,155,158,112,116,112,117,0.404,0.411,0.295,0.297,0.295,0.299
Gray20Violet10,116,125,95,103,97,101,0.375,0.386,0.311,0.315,0.3,0.314
Gray9Violet9,137,139,115,117,131,133,0.357,0.358,0.3,0.301,0.342,0.342
Gray9Violet9,130,131,109,110,122,123,0.359,0.361,0.301,0.303,0.336,0.34
Gray9Violet9,135,137,114,115,129,131,0.357,0.358,0.3,0.302,0.341,0.342
Gray7Violet10,140,144,116,119,34,137,0.359,0.36,0.297,0.298,0.343,0.344
Gray8Violet7,155,157,131,133,133,135,0.369,0.37,0.311,0.314,0.317,0.318
Gray9Violet6,163,165,144,146,155,157,0.353,0.353,0.312,0.312,0.335,0.335
Gray9Violet8,141,145,116,119,119,122,0.375,0.376,0.308,0.309,0.316,0.316
Gray20Violet9,138,140,108,110,109,111,0.388,0.389,0.304,0.305,0.307,0.307
Gray20Violet10,125,129,94,98,97,100,0.389,0.399,0.291,0.302,0.306,0.31
Gray20Violet9,127,130,106,107,104,113,0.369,0.381,0.305,0.314,0.305,0.326
Gray14Violet2,155,157,119,121,122,123,0.389,0.393,0.298,0.304,0.307,0.309
Gray8Violet8,154,156,114,116,119,121,0.397,0.398,0.295,0.295,0.307,0.308
Gray9Violet7,149,151,135,137,149,152,0.343,0.344,0.311,0.312,0.344,0.346
Gray14Pink1,164,166,143,145,146,148,0.362,0.362,0.316,0.316,0.322,0.322
Gray6Pink3,214,220,184,191,173,180,0.372,0.377,0.32,0.323,0.303,0.305
Gray7Pink4,208,213,182,182,170,172,0.371,0.376,0.321,0.325,0.303,0.304
Gray6Pink5,201,210,144,152,140,150,0.405,0.415,0.291,0.301,0.288,0.298
Gray6Pink6,192,194,134,137,131,134,0.417,0.42,0.293,0.295,0.287,0.288
Gray4Pink5,216,221,142,146,138,144,0.432,0.435,0.286,0.286,0.278,0.282
Gray5Pink4,221,222,167,167,162,164,0.401,0.402,0.302,0.304,0.295,0.297
Gray6Pink4,199,209,152,159,149,155,0.393,0.404,0.298,0.312,0.292,0.304
Gray5Pink4,214,218,149,155,154,158,0.406,0.415,0.288,0.294,0.297,0.3
Gray6Pink8,173,180,94,104,125,134,0.43,0.441,0.24,0.249,0.317,0.323
Gray3Pink5,221,229,114,120,111,114,0.489,0.499,0.254,0.265,0.245,0.247
Gray6Pink8,173,177,109,113,100,104,0.449,0.453,0.285,0.287,0.262,0.265
Gray6Pink7,178,180,118,120,110,112,0.437,0.438,0.291,0.291,0.271,0.272
Gray6Pink8,173,175,98,100,92,94,0.474,0.477,0.27,0.271,0.253,0.255
Gray7Pink9,152,161,82,90,93,101,0.452,0.465,0.251,0.261,0.284,0.287
Gray6Pink9,168,173,82,88,89,94,0.481,0.496,0.242,0.251,0.261,0.268
Gray14Pink2,147,151,110,112,112,118,0.392,0.399,0.294,0.298,0.304,0.312
Gray7Pink4,207,212,168,177,165,175,0.373,0.383,0.311,0.315,0.306,0.312
Gray7Pink3,212,215,182,185,180,183,0.366,0.372,0.316,0.319,0.313,0.316
Gray7Pink2,219,225,198,205,196,203,0.355,0.359,0.322,0.328,0.318,0.321
Gray3Pink2,236,242,194,199,172,175,0.392,0.393,0.322,0.323,0.284,0.286
Gray2Pink2,240,245,189,196,171,174,0.395,0.405,0.312,0.32,0.282,0.288
Gray5Pink4,215,221,178,183,159,165,0.388,0.394,0.321,0.322,0.285,0.29
Gray6Pink5,195,201,143,153,132,142,0.405,0.415,0.304,0.308,0.28,0.287
Gray10Pink4,181,186,148,154,145,151,0.379,0.383,0.312,0.314,0.305,0.308
Gray12Pink1,183,188,154,157,146,151,0.378,0.379,0.317,0.319,0.302,0.304
Gray7Pink8,161,167,102,105,93,98,0.451,0.452,0.284,0.287,0.261,0.265
Gray7Pink7,178,183,123,126,116,119,0.427,0.429,0.294,0.295,0.277,0.278
Gray6Pink7,188,191,124,128,112,119,0.432,0.446,0.291,0.294,0.263,0.274
Gray6Pink6,188,194,128,134,120,126,0.427,0.432,0.294,0.295,0.273,0.278
Gray6Pink7,181,183,121,124,113,116,0.433,0.436,0.292,0.293,0.272,0.274
Gray6Pink6,187,192,139,144,126,131,0.411,0.414,0.308,0.309,0.279,0.281
Gray6Pink7,182,184,130,132,114,117,0.425,0.427,0.304,0.306,0.268,0.271
Gray7Pink8,166,169,119,122,110,113,0.418,0.42,0.301,0.302,0.278,0.28
Gray14Pink3,147,152,113,118,105,111,0.399,0.406,0.306,0.311,0.286,0.293
Gray15Pink1,146,149,121,127,114,119,0.377,0.383,0.317,0.322,0.299,0.304
Gray12Pink4,150,153,124,128,119,124,0.378,0.382,0.316,0.316,0.301,0.306
Gray13Pink2,156,157,114,116,100,105,0.414,0.423,0.307,0.308,0.27,0.279
Gray7Pink9,156,159,104,105,88,90,0.446,0.453,0.296,0.297,0.251,0.257
Gray6Pink9,167,171,89,93,82,87,0.485,0.496,0.262,0.265,0.242,0.25
Gray14Pink3,151,154,100,102,100,104,0.427,0.43,0.283,0.285,0.285,0.289
Gray7Pink8,159,162,111,116,107,113,0.414,0.422,0.294,0.298,0.284,0.289
Gray7Pink8,161,163,114,118,111,115,0.412,0.42,0.294,0.298,0.286,0.29
Gray7Pink8,163,166,118,123,114,118,0.408,0.416,0.297,0.302,0.287,0.29
